"Test Date","Start Time","End Time","Test Case","Test Status","Error Message"
"07/05/2023","18:06:57","18:07:16","visit_01","Pass","-"
"07/05/2023","18:07:16","18:07:42","visit_02","Pass","-"
"07/05/2023","18:07:42","18:07:55","visit_03","Pass","-"
"07/05/2023","18:07:55","18:08:09","visit_04","Pass","-"
"07/05/2023","18:08:09","18:08:26","visit_05","Pass","-"
"07/05/2023","18:08:26","18:08:42","visit_06","Pass","-"
"07/05/2023","18:08:42","18:09:01","visit_07","Pass","-"
"07/05/2023","18:09:01","18:10:17","visit_08","Pass","-"
"07/05/2023","18:10:17","18:10:41","visit_09","Failed","Page Home: Element Dummy1 is not exist, Element Dummy2 is not exist"
